iter	RMSE
0	620.7123339
1	598.9884479
2	580.4465572
3	560.6493745
4	543.0113559
5	525.1574911
6	509.0035743
7	493.4721225
8	480.062917
9	466.6019896
10	455.0152052
11	443.6664367
12	432.6944521
13	422.8950842
14	414.5890757
15	406.0407823
16	398.5815981
17	391.1054012
18	384.2766227
19	377.5973016
20	371.4054131
21	365.7976643
22	360.5402428
23	355.3961969
24	350.4833481
25	346.1953812
26	341.4485525
27	336.7230992
28	332.7810735
29	329.5291243
30	326.0514843
31	322.4361638
32	317.5802438
33	314.403192
34	311.0371199
35	308.4592399
36	305.9541757
37	303.6831216
38	300.1458239
39	297.7992646
40	295.3025264
41	292.6335835
42	288.7655925
43	286.7470718
44	285.0039369
45	282.574081
46	280.6979373
47	279.0711931
48	277.4509012
49	275.6698419
50	274.2259021
51	273.0568087
52	270.05564
53	268.5778108
54	267.0378006
55	265.7091251
56	264.6568688
57	263.719229
58	261.6174219
59	260.7195136
60	259.0820686
61	258.0568167
62	256.9300945
63	254.7467166
64	253.308002
65	252.4739027
66	251.728858
67	250.7232068
68	249.7229489
69	248.1614864
70	247.3472771
71	246.1097016
72	244.5515959
73	242.5900537
74	241.8025199
75	240.9419896
76	240.5667219
77	239.6160382
78	238.7576091
79	238.0994366
80	236.9760483
81	236.1557125
82	235.7704029
83	235.0408132
84	234.5984974
85	233.9744323
86	232.5986659
87	231.4328588
88	230.7867114
89	230.0841321
90	229.6936549
91	229.4011211
92	228.6492946
93	227.9721865
94	226.9571778
95	226.5207754
96	225.9166045
97	225.0483184
98	224.5176752
99	223.8178604
100	223.4030782
101	222.7950796
102	222.2459929
103	221.9574236
104	221.4539861
105	220.933644
106	220.6182325
107	220.2986194
108	219.7525676
109	219.0599104
110	218.7329289
111	218.2849446
112	217.8666255
113	217.4859997
114	217.1990009
115	216.7941032
116	216.5741031
117	215.8011779
118	215.2797209
119	214.9571014
120	214.6331456
121	214.3483846
122	213.8836922
123	213.0582673
124	212.313849
125	211.9589033
126	211.587248
127	211.2512169
128	211.0195951
129	210.629983
130	210.2478649
131	209.8581992
132	209.4932672
133	209.2685289
134	209.0454388
135	208.4805882
136	207.795983
137	207.453984
138	206.7551144
139	206.5605375
140	206.3407107
141	206.0332434
142	205.60732
143	205.3075823
144	205.0093593
145	204.5878092
146	204.4199124
147	204.1635947
148	204.0090201
149	203.7987184
150	203.4525914
151	203.2044732
152	202.8704141
153	202.6751559
154	202.2368402
155	202.0356953
156	201.5417704
157	201.2574612
158	200.8022279
159	200.5679625
160	200.1957597
161	199.6274929
162	199.446225
163	199.0740673
164	198.5202349
165	197.9603328
166	197.7102979
167	197.4292561
168	197.1730171
169	196.8515348
170	196.5914166
171	196.2163401
172	195.8691384
173	195.3738069
174	195.017302
175	194.8817567
176	194.2578321
177	193.868503
178	193.5177716
179	193.1363901
180	192.9446076
181	192.6939026
182	192.3448972
183	191.9674444
184	191.8393525
185	191.3143821
186	191.0860104
187	190.767237
188	190.5380901
189	190.2575961
190	190.0008936
191	189.782056
192	189.3571905
193	189.113168
194	188.9212531
195	188.6158842
196	188.3082929
197	187.9155327
198	187.6367181
199	187.4293321
200	187.2338644
201	187.0415472
202	186.7857658
