iter	Passed	Remaining
0	25	2501
1	51	2507
2	78	2552
3	103	2489
4	126	2406
5	149	2338
6	172	2298
7	196	2264
8	204	2064
9	225	2032
10	247	2002
11	269	1976
12	291	1949
13	312	1917
14	334	1893
15	354	1862
16	375	1831
17	396	1804
18	418	1782
19	439	1756
20	460	1731
21	480	1704
22	501	1680
23	523	1658
24	544	1634
25	565	1609
26	586	1587
27	608	1564
28	630	1542
29	651	1520
30	674	1501
31	695	1478
32	716	1455
33	738	1432
34	759	1411
35	781	1389
36	802	1367
37	824	1345
38	845	1322
39	866	1299
40	887	1276
41	908	1254
42	929	1232
43	951	1210
44	972	1188
45	994	1166
46	1015	1145
47	1037	1123
48	1058	1101
49	1079	1079
50	1101	1058
51	1123	1036
52	1144	1014
53	1166	993
54	1187	971
55	1209	950
56	1230	928
57	1251	905
58	1272	884
59	1293	862
60	1314	840
61	1336	819
62	1358	797
63	1380	776
64	1401	754
65	1423	733
66	1445	711
67	1466	689
68	1487	668
69	1509	646
70	1530	624
71	1551	603
72	1572	581
73	1593	559
74	1615	538
75	1636	516
76	1658	495
77	1680	474
78	1701	452
79	1722	430
80	1743	409
81	1765	387
82	1786	365
83	1807	344
84	1829	322
85	1849	301
86	1870	279
87	1892	258
88	1913	236
89	1934	214
90	1957	193
91	1978	172
92	2000	150
93	2021	129
94	2043	107
95	2064	86
96	2087	64
97	2108	43
98	2129	21
99	2152	0
