iter	Passed	Remaining
0	2	2252
1	4	2128
2	6	2149
3	8	2130
4	10	2108
5	12	2097
6	14	2077
7	16	2061
8	18	2075
9	20	2068
10	22	2048
11	24	2029
12	26	2006
13	28	2005
14	30	2007
15	32	1987
16	34	1978
17	36	1967
18	37	1950
19	39	1937
20	41	1930
21	43	1939
22	45	1929
23	47	1918
24	49	1918
25	51	1918
26	53	1925
27	55	1917
28	57	1912
29	59	1910
30	61	1921
31	63	1916
32	65	1908
33	67	1903
34	69	1903
35	70	1899
36	72	1890
37	74	1896
38	76	1894
39	78	1887
40	80	1883
41	82	1878
42	84	1872
43	85	1863
44	87	1853
45	89	1849
46	91	1846
47	92	1841
48	94	1838
49	96	1835
50	98	1836
51	100	1833
52	102	1827
53	103	1820
54	105	1816
55	107	1812
56	109	1806
57	110	1801
58	112	1794
59	114	1791
60	115	1785
61	117	1779
62	119	1772
63	120	1766
64	122	1761
65	124	1756
66	125	1751
67	127	1746
68	129	1742
69	132	1760
70	135	1772
71	138	1781
72	141	1792
73	143	1792
74	145	1795
75	149	1813
76	151	1821
77	154	1823
78	156	1821
79	157	1816
80	159	1811
81	161	1806
82	163	1801
83	164	1798
84	166	1793
85	168	1788
86	170	1787
87	172	1782
88	173	1777
89	175	1772
90	177	1769
91	178	1765
92	180	1760
93	182	1754
94	183	1750
95	185	1748
96	187	1744
97	188	1739
98	190	1735
99	192	1731
100	194	1729
101	196	1733
102	199	1736
103	201	1734
104	203	1731
105	204	1727
106	206	1724
107	208	1721
108	210	1720
109	212	1717
110	214	1714
111	216	1713
112	218	1712
113	220	1710
114	221	1706
115	223	1703
116	225	1703
117	227	1700
118	229	1698
119	231	1695
120	233	1696
121	235	1695
122	237	1694
123	239	1694
124	241	1692
125	243	1692
126	246	1691
127	248	1690
128	250	1690
129	252	1687
130	253	1683
131	255	1683
132	258	1682
133	259	1680
134	261	1677
135	263	1675
136	265	1672
137	267	1670
138	269	1667
139	270	1664
140	272	1662
141	274	1658
142	276	1654
143	277	1650
144	279	1648
145	281	1644
146	282	1640
147	284	1636
148	285	1632
149	287	1630
150	289	1627
151	291	1623
152	292	1620
153	294	1616
154	296	1614
155	297	1611
156	299	1608
157	301	1604
158	302	1601
159	304	1598
160	306	1594
161	307	1591
162	309	1588
163	311	1585
164	312	1582
165	314	1579
166	316	1576
167	317	1573
168	319	1571
169	321	1569
170	323	1565
171	324	1563
172	326	1560
173	328	1558
174	329	1555
175	331	1553
176	333	1550
177	335	1547
178	336	1544
179	338	1541
180	339	1538
181	341	1535
182	343	1534
183	345	1531
184	346	1528
185	348	1525
186	350	1522
187	352	1521
188	353	1518
189	355	1515
190	357	1512
191	358	1510
192	360	1508
193	362	1505
